"ODS Code","Measure","Percentage","Over Target","Total","Year"
"NV3","31 Day Wait for first treatment By Cancer","0.942","19","329","2015"
"RM2","31 Day Wait for first treatment By Cancer","0.987","18","1371","2015"
"RBZ","31 Day Wait for first treatment By Cancer","0.964","18","499","2015"
"RA9","31 Day Wait for first treatment By Cancer","0.985","18","1175","2015"
"RAX","31 Day Wait for first treatment By Cancer","0.971","17","588","2015"
"RPY","31 Day Wait for first treatment By Cancer","0.990","17","1632","2015"
"RXK","31 Day Wait for first treatment By Cancer","0.982","17","948","2015"
"RTK","31 Day Wait for first treatment By Cancer","0.977","15","655","2015"
"RTP","31 Day Wait for first treatment By Cancer","0.983","15","891","2015"
"RCX","31 Day Wait for first treatment By Cancer","0.981","15","786","2015"
"RDD","31 Day Wait for first treatment By Cancer","0.982","15","823","2015"
"RN5","31 Day Wait for first treatment By Cancer","0.989","14","1282","2015"
"RAL","31 Day Wait for first treatment By Cancer","0.991","14","1552","2015"
"R1K","31 Day Wait for first treatment By Cancer","0.985","14","926","2015"
"RXF","31 Day Wait for first treatment By Cancer","0.990","13","1331","2015"
"RP5","31 Day Wait for first treatment By Cancer","0.988","13","1111","2015"
"RWG","31 Day Wait for first treatment By Cancer","0.988","12","996","2015"
"RTF","31 Day Wait for first treatment By Cancer","0.986","12","872","2015"
"RLQ","31 Day Wait for first treatment By Cancer","0.978","11","501","2015"
"RMC","31 Day Wait for first treatment By Cancer","0.986","10","691","2015"
"RPC","31 Day Wait for first treatment By Cancer","0.973","10","371","2015"
"RKB","31 Day Wait for first treatment By Cancer","0.993","10","1401","2015"
"RAE","31 Day Wait for first treatment By Cancer","0.990","10","978","2015"
"RYR","31 Day Wait for first treatment By Cancer","0.994","10","1752","2015"
"RK5","31 Day Wait for first treatment By Cancer","0.989","9","795","2015"
"RJF","31 Day Wait for first treatment By Cancer","0.983","9","545","2015"
"RRF","31 Day Wait for first treatment By Cancer","0.986","9","666","2015"
"RXQ","31 Day Wait for first treatment By Cancer","0.992","9","1075","2015"
"RD3","31 Day Wait for first treatment By Cancer","0.992","9","1078","2015"
"RJZ","31 Day Wait for first treatment By Cancer","0.994","9","1505","2015"
"RWJ","31 Day Wait for first treatment By Cancer","0.983","9","535","2015"
"RD8","31 Day Wait for first treatment By Cancer","0.982","8","450","2015"
"RQW","31 Day Wait for first treatment By Cancer","0.988","8","664","2015"
"RNZ","31 Day Wait for first treatment By Cancer","0.988","8","667","2015"
"RLN","31 Day Wait for first treatment By Cancer","0.993","8","1118","2015"
"REM","31 Day Wait for first treatment By Cancer","0.990","8","825","2015"
"RJR","31 Day Wait for first treatment By Cancer","0.989","7","658","2015"
"RVY","31 Day Wait for first treatment By Cancer","0.985","7","479","2015"
"RXR","31 Day Wait for first treatment By Cancer","0.994","7","1194","2015"
"RJC","31 Day Wait for first treatment By Cancer","0.986","7","485","2015"
"RAN","31 Day Wait for first treatment By Cancer","0.933","7","104","2015"
"RFF","31 Day Wait for first treatment By Cancer","0.987","6","471","2015"
"RD1","31 Day Wait for first treatment By Cancer","0.995","6","1179","2015"
"RJ2","31 Day Wait for first treatment By Cancer","0.989","6","561","2015"
"RA4","31 Day Wait for first treatment By Cancer","0.989","6","558","2015"
"RTX","31 Day Wait for first treatment By Cancer","0.995","6","1156","2015"
"RP6","31 Day Wait for first treatment By Cancer","0.949","6","118","2015"
"RFR","31 Day Wait for first treatment By Cancer","0.989","6","538","2015"
"RDU","31 Day Wait for first treatment By Cancer","0.993","6","832","2015"
"RVR","31 Day Wait for first treatment By Cancer","0.990","5","480","2015"
"RFS","31 Day Wait for first treatment By Cancer","0.994","5","824","2015"
"RVW","31 Day Wait for first treatment By Cancer","0.994","5","771","2015"
"RJ6","31 Day Wait for first treatment By Cancer","0.988","5","432","2015"
"RR7","31 Day Wait for first treatment By Cancer","0.994","5","873","2015"
"RBD","31 Day Wait for first treatment By Cancer","0.993","5","668","2015"
"RXL","31 Day Wait for first treatment By Cancer","0.996","4","1136","2015"
"RBT","31 Day Wait for first treatment By Cancer","0.994","4","686","2015"
"RCD","31 Day Wait for first treatment By Cancer","0.993","4","593","2015"
"RT3","31 Day Wait for first treatment By Cancer","0.983","4","237","2015"
"RN7","31 Day Wait for first treatment By Cancer","0.992","4","475","2015"
"RC1","31 Day Wait for first treatment By Cancer","0.996","3","678","2015"
"RGN","31 Day Wait for first treatment By Cancer","0.997","3","962","2015"
"RAP","31 Day Wait for first treatment By Cancer","0.994","3","516","2015"
"RW6","31 Day Wait for first treatment By Cancer","0.997","3","1056","2015"
"RAS","31 Day Wait for first treatment By Cancer","0.994","3","484","2015"
"RJN","31 Day Wait for first treatment By Cancer","0.993","3","416","2015"
"RMP","31 Day Wait for first treatment By Cancer","0.993","3","434","2015"
"RBK","31 Day Wait for first treatment By Cancer","0.995","3","575","2015"
"RTE","31 Day Wait for first treatment By Cancer","0.998","3","1844","2015"
"RNA","31 Day Wait for first treatment By Cancer","0.997","3","1051","2015"
"RNQ","31 Day Wait for first treatment By Cancer","0.996","3","798","2015"
"RA3","31 Day Wait for first treatment By Cancer","0.993","2","306","2015"
"RLT","31 Day Wait for first treatment By Cancer","0.995","2","396","2015"
"R1F","31 Day Wait for first treatment By Cancer","0.996","2","498","2015"
"RGP","31 Day Wait for first treatment By Cancer","0.997","2","772","2015"
"RQM","31 Day Wait for first treatment By Cancer","0.995","2","372","2015"
"RD7","31 Day Wait for first treatment By Cancer","0.997","2","631","2015"
"RKE","31 Day Wait for first treatment By Cancer","0.990","2","210","2015"
"RQ3","31 Day Wait for first treatment By Cancer","0.990","1","96","2015"
"RXP","31 Day Wait for first treatment By Cancer","0.999","1","1236","2015"
"RBQ","31 Day Wait for first treatment By Cancer","0.997","1","366","2015"
"RRJ","31 Day Wait for first treatment By Cancer","0.989","1","87","2015"
"RWY","31 Day Wait for first treatment By Cancer","0.999","1","833","2015"
"RCU","31 Day Wait for first treatment By Cancer","0.977","1","44","2015"
"RBF","31 Day Wait for first treatment By Cancer","0.000","1","1","2015"
"RFW","31 Day Wait for first treatment By Cancer","0.993","1","144","2015"
"RJL","31 Day Wait for first treatment By Cancer","0.999","1","978","2015"
"RQQ","31 Day Wait for first treatment By Cancer","0.998","1","405","2015"
"R1C","31 Day Wait for first treatment By Cancer","1.000","0","2","2015"
"RLU","31 Day Wait for first treatment By Cancer","1.000","0","25","2015"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0","521","2015"
"RWW","31 Day Wait for first treatment By Cancer","1.000","0","201","2015"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0","725","2015"
"RR2","31 Day Wait for first treatment By Cancer","1.000","0","1","2015"
"NYT","31 Day Wait for first treatment By Cancer","1.000","0","32","2015"
"RGM","31 Day Wait for first treatment By Cancer","1.000","0","92","2015"
"REP","31 Day Wait for first treatment By Cancer","1.000","0","211","2015"
"RL1","31 Day Wait for first treatment By Cancer","1.000","0","8","2015"
"RY2","31 Day Wait for first treatment By Cancer","1.000","0","37","2015"
"RQX","31 Day Wait for first treatment By Cancer","1.000","0","225","2015"
"5NM","31 Day Wait for first treatment By Cancer","1.000","0","11","2015"
"RET","31 Day Wait for first treatment By Cancer","1.000","0","65","2015"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0","81","2015"
"RP1","31 Day Wait for first treatment By Cancer","1.000","0","1","2015"
"RE9","31 Day Wait for first treatment By Cancer","1.000","0","182","2015"
"RBS","31 Day Wait for first treatment By Cancer","1.000","0","22","2015"
"RP4","31 Day Wait for first treatment By Cancer","1.000","0","106","2015"
"RGR","31 Day Wait for first treatment By Cancer","1.000","0","827","2015"
"RWE","31 Day Wait for first treatment By Cancer","0.934","280","4243","2016"
"RHQ","31 Day Wait for first treatment By Cancer","0.963","208","5654","2016"
"RTH","31 Day Wait for first treatment By Cancer","0.950","199","3963","2016"
"RJ1","31 Day Wait for first treatment By Cancer","0.949","175","3431","2016"
"RK9","31 Day Wait for first treatment By Cancer","0.954","166","3587","2016"
"RVV","31 Day Wait for first treatment By Cancer","0.953","163","3502","2016"
"RWH","31 Day Wait for first treatment By Cancer","0.937","163","2595","2016"
"RQ8","31 Day Wait for first treatment By Cancer","0.932","161","2355","2016"
"RJE","31 Day Wait for first treatment By Cancer","0.956","160","3628","2016"
"RX1","31 Day Wait for first treatment By Cancer","0.963","159","4249","2016"
"RR8","31 Day Wait for first treatment By Cancer","0.973","156","5714","2016"
"RRV","31 Day Wait for first treatment By Cancer","0.952","128","2686","2016"
"RHM","31 Day Wait for first treatment By Cancer","0.967","127","3856","2016"
"RTG","31 Day Wait for first treatment By Cancer","0.960","126","3187","2016"
"RXN","31 Day Wait for first treatment By Cancer","0.962","124","3255","2016"
"RVJ","31 Day Wait for first treatment By Cancer","0.962","120","3132","2016"
"RA2","31 Day Wait for first treatment By Cancer","0.954","117","2528","2016"
"RM1","31 Day Wait for first treatment By Cancer","0.973","112","4148","2016"
"RPA","31 Day Wait for first treatment By Cancer","0.928","109","1508","2016"
"RTD","31 Day Wait for first treatment By Cancer","0.981","100","5259","2016"
"RDE","31 Day Wait for first treatment By Cancer","0.957","98","2295","2016"
"RWD","31 Day Wait for first treatment By Cancer","0.970","96","3166","2016"
"RGT","31 Day Wait for first treatment By Cancer","0.972","88","3115","2016"
"RH8","31 Day Wait for first treatment By Cancer","0.974","88","3402","2016"
"RL4","31 Day Wait for first treatment By Cancer","0.964","85","2333","2016"
"RWP","31 Day Wait for first treatment By Cancer","0.972","85","3056","2016"
"RWF","31 Day Wait for first treatment By Cancer","0.966","84","2441","2016"
"RTR","31 Day Wait for first treatment By Cancer","0.973","83","3031","2016"
"RA7","31 Day Wait for first treatment By Cancer","0.969","82","2654","2016"
"R1H","31 Day Wait for first treatment By Cancer","0.974","81","3137","2016"
"RYJ","31 Day Wait for first treatment By Cancer","0.971","79","2763","2016"
"RRK","31 Day Wait for first treatment By Cancer","0.975","77","3131","2016"
"RNS","31 Day Wait for first treatment By Cancer","0.958","76","1823","2016"
"RBV","31 Day Wait for first treatment By Cancer","0.979","76","3554","2016"
"RAJ","31 Day Wait for first treatment By Cancer","0.964","74","2030","2016"
"RHU","31 Day Wait for first treatment By Cancer","0.980","70","3517","2016"
"REF","31 Day Wait for first treatment By Cancer","0.976","67","2826","2016"
"RWA","31 Day Wait for first treatment By Cancer","0.982","67","3715","2016"
"RPC","31 Day Wait for first treatment By Cancer","0.907","65","700","2016"
"RHW","31 Day Wait for first treatment By Cancer","0.972","65","2300","2016"
"RDZ","31 Day Wait for first treatment By Cancer","0.973","64","2368","2016"
"RAL","31 Day Wait for first treatment By Cancer","0.975","63","2561","2016"
"RTE","31 Day Wait for first treatment By Cancer","0.982","62","3519","2016"
"RXF","31 Day Wait for first treatment By Cancer","0.971","62","2164","2016"
"RGQ","31 Day Wait for first treatment By Cancer","0.972","60","2126","2016"
"RNL","31 Day Wait for first treatment By Cancer","0.960","59","1487","2016"
"RBA","31 Day Wait for first treatment By Cancer","0.974","59","2237","2016"
"REN","31 Day Wait for first treatment By Cancer","0.976","59","2424","2016"
"RJ7","31 Day Wait for first treatment By Cancer","0.966","57","1693","2016"
"NV3","31 Day Wait for first treatment By Cancer","0.909","52","569","2016"
"RA9","31 Day Wait for first treatment By Cancer","0.974","51","1941","2016"
"RXH","31 Day Wait for first treatment By Cancer","0.981","50","2663","2016"
"RBL","31 Day Wait for first treatment By Cancer","0.969","49","1577","2016"
"RF4","31 Day Wait for first treatment By Cancer","0.978","48","2178","2016"
"RBN","31 Day Wait for first treatment By Cancer","0.978","47","2180","2016"
"RJZ","31 Day Wait for first treatment By Cancer","0.981","46","2448","2016"
"RW3","31 Day Wait for first treatment By Cancer","0.967","43","1288","2016"
"RTP","31 Day Wait for first treatment By Cancer","0.972","43","1536","2016"
"RQ6","31 Day Wait for first treatment By Cancer","0.974","43","1636","2016"
"RMC","31 Day Wait for first treatment By Cancer","0.966","42","1249","2016"
"RWG","31 Day Wait for first treatment By Cancer","0.975","39","1544","2016"
"RCB","31 Day Wait for first treatment By Cancer","0.987","38","2972","2016"
"R1K","31 Day Wait for first treatment By Cancer","0.973","37","1387","2016"
"RN3","31 Day Wait for first treatment By Cancer","0.973","37","1376","2016"
"RPY","31 Day Wait for first treatment By Cancer","0.987","34","2629","2016"
"RNZ","31 Day Wait for first treatment By Cancer","0.975","31","1263","2016"
"RLN","31 Day Wait for first treatment By Cancer","0.984","29","1859","2016"
"RTF","31 Day Wait for first treatment By Cancer","0.979","29","1406","2016"
"RK5","31 Day Wait for first treatment By Cancer","0.977","29","1263","2016"
"RYR","31 Day Wait for first treatment By Cancer","0.990","28","2899","2016"
"RXC","31 Day Wait for first treatment By Cancer","0.986","28","2039","2016"
"RTK","31 Day Wait for first treatment By Cancer","0.973","27","1004","2016"
"RDD","31 Day Wait for first treatment By Cancer","0.982","26","1442","2016"
"RAE","31 Day Wait for first treatment By Cancer","0.983","26","1524","2016"
"RXK","31 Day Wait for first treatment By Cancer","0.984","26","1618","2016"
"RXW","31 Day Wait for first treatment By Cancer","0.991","26","2886","2016"
"RQW","31 Day Wait for first treatment By Cancer","0.978","25","1155","2016"
"RKB","31 Day Wait for first treatment By Cancer","0.989","25","2331","2016"
"RXR","31 Day Wait for first treatment By Cancer","0.989","25","2243","2016"
"RNQ","31 Day Wait for first treatment By Cancer","0.982","25","1367","2016"
"RM2","31 Day Wait for first treatment By Cancer","0.991","23","2538","2016"
"RTX","31 Day Wait for first treatment By Cancer","0.988","22","1802","2016"
"RXQ","31 Day Wait for first treatment By Cancer","0.988","21","1826","2016"
"RC1","31 Day Wait for first treatment By Cancer","0.982","21","1159","2016"
"RM3","31 Day Wait for first treatment By Cancer","0.987","20","1485","2016"
"RLQ","31 Day Wait for first treatment By Cancer","0.980","20","978","2016"
"RN5","31 Day Wait for first treatment By Cancer","0.991","19","2137","2016"
"REM","31 Day Wait for first treatment By Cancer","0.988","18","1454","2016"
"RD3","31 Day Wait for first treatment By Cancer","0.991","16","1748","2016"
"RDU","31 Day Wait for first treatment By Cancer","0.994","16","2671","2016"
"RP5","31 Day Wait for first treatment By Cancer","0.991","16","1696","2016"
"RAN","31 Day Wait for first treatment By Cancer","0.858","16","113","2016"
"RT3","31 Day Wait for first treatment By Cancer","0.965","15","424","2016"
"RR1","31 Day Wait for first treatment By Cancer","0.996","15","3471","2016"
"RA4","31 Day Wait for first treatment By Cancer","0.980","14","714","2016"
"RJ2","31 Day Wait for first treatment By Cancer","0.986","14","1005","2016"
"RWJ","31 Day Wait for first treatment By Cancer","0.983","14","829","2016"
"RBD","31 Day Wait for first treatment By Cancer","0.989","13","1158","2016"
"RVR","31 Day Wait for first treatment By Cancer","0.987","13","979","2016"
"RNA","31 Day Wait for first treatment By Cancer","0.992","13","1575","2016"
"RFF","31 Day Wait for first treatment By Cancer","0.986","12","877","2016"
"RP6","31 Day Wait for first treatment By Cancer","0.947","12","227","2016"
"RW6","31 Day Wait for first treatment By Cancer","0.993","12","1625","2016"
"RAS","31 Day Wait for first treatment By Cancer","0.986","12","828","2016"
"RJC","31 Day Wait for first treatment By Cancer","0.987","12","929","2016"
"RXL","31 Day Wait for first treatment By Cancer","0.994","11","1895","2016"
"RFR","31 Day Wait for first treatment By Cancer","0.988","11","947","2016"
"RCX","31 Day Wait for first treatment By Cancer","0.991","11","1230","2016"
"RJR","31 Day Wait for first treatment By Cancer","0.990","11","1154","2016"
"RBK","31 Day Wait for first treatment By Cancer","0.989","11","1000","2016"
"RVY","31 Day Wait for first treatment By Cancer","0.987","10","774","2016"
"RJF","31 Day Wait for first treatment By Cancer","0.990","9","932","2016"
"RXP","31 Day Wait for first treatment By Cancer","0.995","9","1970","2016"
"RJ6","31 Day Wait for first treatment By Cancer","0.987","9","712","2016"
"RCD","31 Day Wait for first treatment By Cancer","0.991","9","1000","2016"
"RQM","31 Day Wait for first treatment By Cancer","0.990","8","769","2016"
"RD1","31 Day Wait for first treatment By Cancer","0.996","8","2086","2016"
"RD8","31 Day Wait for first treatment By Cancer","0.993","7","969","2016"
"RGP","31 Day Wait for first treatment By Cancer","0.994","7","1262","2016"
"RFS","31 Day Wait for first treatment By Cancer","0.995","7","1292","2016"
"RBZ","31 Day Wait for first treatment By Cancer","0.992","7","905","2016"
"RAP","31 Day Wait for first treatment By Cancer","0.993","7","970","2016"
"RQQ","31 Day Wait for first treatment By Cancer","0.990","7","715","2016"
"R1F","31 Day Wait for first treatment By Cancer","0.993","6","805","2016"
"RVW","31 Day Wait for first treatment By Cancer","0.996","6","1420","2016"
"RWY","31 Day Wait for first treatment By Cancer","0.996","6","1506","2016"
"RAX","31 Day Wait for first treatment By Cancer","0.994","6","1055","2016"
"RBQ","31 Day Wait for first treatment By Cancer","0.990","5","513","2016"
"RWW","31 Day Wait for first treatment By Cancer","0.985","5","337","2016"
"RJL","31 Day Wait for first treatment By Cancer","0.997","5","1750","2016"
"RA3","31 Day Wait for first treatment By Cancer","0.991","5","539","2016"
"RRF","31 Day Wait for first treatment By Cancer","0.996","4","1055","2016"
"RGN","31 Day Wait for first treatment By Cancer","0.997","4","1549","2016"
"RMP","31 Day Wait for first treatment By Cancer","0.996","3","672","2016"
"RBT","31 Day Wait for first treatment By Cancer","0.997","3","1071","2016"
"RY2","31 Day Wait for first treatment By Cancer","0.956","3","68","2016"
"AQK","31 Day Wait for first treatment By Cancer","0.979","3","142","2016"
"RR7","31 Day Wait for first treatment By Cancer","0.998","3","1404","2016"
"RP4","31 Day Wait for first treatment By Cancer","0.989","2","186","2016"
"RC9","31 Day Wait for first treatment By Cancer","0.998","2","1246","2016"
"RQX","31 Day Wait for first treatment By Cancer","0.995","2","401","2016"
"RLT","31 Day Wait for first treatment By Cancer","0.997","2","642","2016"
"RJN","31 Day Wait for first treatment By Cancer","0.997","2","582","2016"
"NYT","31 Day Wait for first treatment By Cancer","0.941","2","34","2016"
"RGM","31 Day Wait for first treatment By Cancer","0.990","2","209","2016"
"RL1","31 Day Wait for first treatment By Cancer","0.947","1","19","2016"
"RLU","31 Day Wait for first treatment By Cancer","0.964","1","28","2016"
"RBS","31 Day Wait for first treatment By Cancer","0.977","1","43","2016"
"RCF","31 Day Wait for first treatment By Cancer","0.999","1","812","2016"
"RKE","31 Day Wait for first treatment By Cancer","0.997","1","365","2016"
"RRJ","31 Day Wait for first treatment By Cancer","0.991","1","107","2016"
"NYG","31 Day Wait for first treatment By Cancer","1.000","0","7","2016"
"RN7","31 Day Wait for first treatment By Cancer","1.000","0","857","2016"
"RGD","31 Day Wait for first treatment By Cancer","1.000","0","1","2016"
"RCU","31 Day Wait for first treatment By Cancer","1.000","0","48","2016"
"RGR","31 Day Wait for first treatment By Cancer","1.000","0","1331","2016"
"RV3","31 Day Wait for first treatment By Cancer","1.000","0","4","2016"
"RQ3","31 Day Wait for first treatment By Cancer","1.000","0","152","2016"
"RET","31 Day Wait for first treatment By Cancer","1.000","0","117","2016"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0","137","2016"
"REP","31 Day Wait for first treatment By Cancer","1.000","0","304","2016"
"RT1","31 Day Wait for first treatment By Cancer","1.000","0","1","2016"
"NQT","31 Day Wait for first treatment By Cancer","1.000","0","13","2016"
"RE9","31 Day Wait for first treatment By Cancer","1.000","0","316","2016"
"RJ1","31 Day Wait for first treatment By Cancer","0.939","237","3910","2017"
"RWE","31 Day Wait for first treatment By Cancer","0.951","235","4796","2017"
"RWH","31 Day Wait for first treatment By Cancer","0.915","232","2730","2017"
"RQ8","31 Day Wait for first treatment By Cancer","0.917","200","2424","2017"
"RR8","31 Day Wait for first treatment By Cancer","0.966","195","5720","2017"
"RHQ","31 Day Wait for first treatment By Cancer","0.970","175","5886","2017"
"RRV","31 Day Wait for first treatment By Cancer","0.948","171","3261","2017"
"RX1","31 Day Wait for first treatment By Cancer","0.968","153","4718","2017"
"RK9","31 Day Wait for first treatment By Cancer","0.961","151","3910","2017"
"RTE","31 Day Wait for first treatment By Cancer","0.955","150","3370","2017"
"RTH","31 Day Wait for first treatment By Cancer","0.967","142","4348","2017"
"RHM","31 Day Wait for first treatment By Cancer","0.965","138","3948","2017"
"RTG","31 Day Wait for first treatment By Cancer","0.959","136","3344","2017"
"RXN","31 Day Wait for first treatment By Cancer","0.960","134","3341","2017"
"RWD","31 Day Wait for first treatment By Cancer","0.960","130","3229","2017"
"RVV","31 Day Wait for first treatment By Cancer","0.958","127","3029","2017"
"RTD","31 Day Wait for first treatment By Cancer","0.978","122","5460","2017"
"RTR","31 Day Wait for first treatment By Cancer","0.969","111","3638","2017"
"RJE","31 Day Wait for first treatment By Cancer","0.972","111","3919","2017"
"RWA","31 Day Wait for first treatment By Cancer","0.973","108","3935","2017"
"RWF","31 Day Wait for first treatment By Cancer","0.956","105","2365","2017"
"RA7","31 Day Wait for first treatment By Cancer","0.964","104","2868","2017"
"RDE","31 Day Wait for first treatment By Cancer","0.955","101","2221","2017"
"RAJ","31 Day Wait for first treatment By Cancer","0.956","89","2000","2017"
"RVJ","31 Day Wait for first treatment By Cancer","0.972","87","3110","2017"
"RJZ","31 Day Wait for first treatment By Cancer","0.965","87","2474","2017"
"RWP","31 Day Wait for first treatment By Cancer","0.974","81","3144","2017"
"RBV","31 Day Wait for first treatment By Cancer","0.978","81","3731","2017"
"RGQ","31 Day Wait for first treatment By Cancer","0.963","80","2158","2017"
"RGT","31 Day Wait for first treatment By Cancer","0.976","78","3230","2017"
"RFS","31 Day Wait for first treatment By Cancer","0.943","78","1369","2017"
"RH8","31 Day Wait for first treatment By Cancer","0.979","73","3398","2017"
"RYJ","31 Day Wait for first treatment By Cancer","0.974","73","2839","2017"
"RCB","31 Day Wait for first treatment By Cancer","0.976","71","2934","2017"
"RM1","31 Day Wait for first treatment By Cancer","0.984","71","4376","2017"
"RL4","31 Day Wait for first treatment By Cancer","0.973","70","2637","2017"
"RDD","31 Day Wait for first treatment By Cancer","0.953","68","1458","2017"
"RPY","31 Day Wait for first treatment By Cancer","0.976","64","2663","2017"
"RJ7","31 Day Wait for first treatment By Cancer","0.968","61","1915","2017"
"RR1","31 Day Wait for first treatment By Cancer","0.984","60","3644","2017"
"RRK","31 Day Wait for first treatment By Cancer","0.980","58","2927","2017"
"RAL","31 Day Wait for first treatment By Cancer","0.978","58","2693","2017"
"RNS","31 Day Wait for first treatment By Cancer","0.969","56","1827","2017"
"REF","31 Day Wait for first treatment By Cancer","0.982","56","3041","2017"
"RBL","31 Day Wait for first treatment By Cancer","0.969","53","1688","2017"
"RDZ","31 Day Wait for first treatment By Cancer","0.979","52","2464","2017"
"R1H","31 Day Wait for first treatment By Cancer","0.985","52","3379","2017"
"RA2","31 Day Wait for first treatment By Cancer","0.977","52","2274","2017"
"RPA","31 Day Wait for first treatment By Cancer","0.968","51","1580","2017"
"RHW","31 Day Wait for first treatment By Cancer","0.978","49","2258","2017"
"REN","31 Day Wait for first treatment By Cancer","0.981","49","2579","2017"
"RXF","31 Day Wait for first treatment By Cancer","0.979","48","2327","2017"
"RXC","31 Day Wait for first treatment By Cancer","0.977","47","2017","2017"
"RQ6","31 Day Wait for first treatment By Cancer","0.971","45","1551","2017"
"RHU","31 Day Wait for first treatment By Cancer","0.988","45","3612","2017"
"RW3","31 Day Wait for first treatment By Cancer","0.951","43","884","2017"
"RA9","31 Day Wait for first treatment By Cancer","0.976","41","1723","2017"
"RBN","31 Day Wait for first treatment By Cancer","0.982","40","2164","2017"
"RPC","31 Day Wait for first treatment By Cancer","0.951","38","775","2017"
"RAE","31 Day Wait for first treatment By Cancer","0.974","38","1448","2017"
"RNL","31 Day Wait for first treatment By Cancer","0.975","37","1498","2017"
