"ODS Code","Measure","Percentage","Over Target","Total","Year","Month"
"RWD","31 Day Wait for first treatment By Cancer","0.952","13.0","269.0","2015","6"
"RXH","31 Day Wait for first treatment By Cancer","0.937","13.0","206.0","2015","9"
"RTG","31 Day Wait for first treatment By Cancer","0.951","13.0","264.0","2015","12"
"RR8","31 Day Wait for first treatment By Cancer","0.974","13.0","504.0","2015","6"
"RX1","31 Day Wait for first treatment By Cancer","0.965","13.0","370.0","2015","10"
"RHQ","31 Day Wait for first treatment By Cancer","0.971","12.0","415.0","2015","8"
"RPA","31 Day Wait for first treatment By Cancer","0.922","12.0","153.0","2015","9"
"RF4","31 Day Wait for first treatment By Cancer","0.942","12.0","208.0","2015","11"
"RQ8","31 Day Wait for first treatment By Cancer","0.940","12.0","199.0","2015","12"
"RK9","31 Day Wait for first treatment By Cancer","0.961","12.0","305.0","2015","12"
"RTG","31 Day Wait for first treatment By Cancer","0.956","12.0","270.0","2015","10"
"RM1","31 Day Wait for first treatment By Cancer","0.969","12.0","385.0","2015","6"
"RTG","31 Day Wait for first treatment By Cancer","0.955","12.0","266.0","2015","8"
"RJE","31 Day Wait for first treatment By Cancer","0.961","12.0","308.0","2015","9"
"RDZ","31 Day Wait for first treatment By Cancer","0.935","12.0","185.0","2015","6"
"RRV","31 Day Wait for first treatment By Cancer","0.946","12.0","223.0","2015","10"
"RHM","31 Day Wait for first treatment By Cancer","0.965","12.0","345.0","2015","10"
"RTD","31 Day Wait for first treatment By Cancer","0.973","12.0","448.0","2015","10"
"RDZ","31 Day Wait for first treatment By Cancer","0.930","12.0","171.0","2015","8"
"RDZ","31 Day Wait for first treatment By Cancer","0.941","11.0","188.0","2015","10"
"RWE","31 Day Wait for first treatment By Cancer","0.972","11.0","392.0","2015","7"
"RWP","31 Day Wait for first treatment By Cancer","0.955","11.0","244.0","2015","6"
"RM1","31 Day Wait for first treatment By Cancer","0.968","11.0","347.0","2015","7"
"RVJ","31 Day Wait for first treatment By Cancer","0.961","11.0","285.0","2015","10"
"RX1","31 Day Wait for first treatment By Cancer","0.967","11.0","329.0","2015","8"
"RX1","31 Day Wait for first treatment By Cancer","0.968","11.0","341.0","2015","11"
"RX1","31 Day Wait for first treatment By Cancer","0.968","11.0","341.0","2015","12"
"RH8","31 Day Wait for first treatment By Cancer","0.964","11.0","309.0","2015","11"
"RTG","31 Day Wait for first treatment By Cancer","0.960","11.0","274.0","2015","6"
"RHM","31 Day Wait for first treatment By Cancer","0.966","11.0","321.0","2015","8"
"RK9","31 Day Wait for first treatment By Cancer","0.965","11.0","310.0","2015","9"
"RPA","31 Day Wait for first treatment By Cancer","0.922","11.0","141.0","2015","11"
"RTD","31 Day Wait for first treatment By Cancer","0.975","11.0","441.0","2015","11"
"RK9","31 Day Wait for first treatment By Cancer","0.965","11.0","310.0","2015","7"
"RK9","31 Day Wait for first treatment By Cancer","0.967","11.0","329.0","2015","6"
"RQ8","31 Day Wait for first treatment By Cancer","0.943","11.0","193.0","2015","8"
"R1H","31 Day Wait for first treatment By Cancer","0.962","10.0","261.0","2015","9"
"RHU","31 Day Wait for first treatment By Cancer","0.966","10.0","290.0","2015","6"
"RHQ","31 Day Wait for first treatment By Cancer","0.977","10.0","426.0","2015","11"
"RPA","31 Day Wait for first treatment By Cancer","0.929","10.0","141.0","2015","10"
"RXC","31 Day Wait for first treatment By Cancer","0.950","10.0","201.0","2015","7"
"RBV","31 Day Wait for first treatment By Cancer","0.971","10.0","348.0","2015","6"
"RRK","31 Day Wait for first treatment By Cancer","0.962","10.0","261.0","2015","12"
"RTH","31 Day Wait for first treatment By Cancer","0.971","10.0","341.0","2015","9"
"RX1","31 Day Wait for first treatment By Cancer","0.971","10.0","346.0","2015","9"
"RA7","31 Day Wait for first treatment By Cancer","0.953","10.0","213.0","2015","6"
"RGT","31 Day Wait for first treatment By Cancer","0.961","10.0","259.0","2015","10"
"RGT","31 Day Wait for first treatment By Cancer","0.952","10.0","208.0","2015","8"
"RVV","31 Day Wait for first treatment By Cancer","0.961","10.0","256.0","2015","6"
"RM1","31 Day Wait for first treatment By Cancer","0.974","10.0","382.0","2015","9"
"RDZ","31 Day Wait for first treatment By Cancer","0.958","10.0","238.0","2015","11"
"RWA","31 Day Wait for first treatment By Cancer","0.964","10.0","276.0","2015","9"
"RWF","31 Day Wait for first treatment By Cancer","0.947","10.0","188.0","2015","9"
"REF","31 Day Wait for first treatment By Cancer","0.961","10.0","255.0","2015","10"
"RXN","31 Day Wait for first treatment By Cancer","0.967","10.0","302.0","2015","6"
"R1H","31 Day Wait for first treatment By Cancer","0.961","10.0","257.0","2015","7"
"RRV","31 Day Wait for first treatment By Cancer","0.956","10.0","225.0","2015","11"
"RWH","31 Day Wait for first treatment By Cancer","0.962","9.0","237.0","2015","6"
"RL4","31 Day Wait for first treatment By Cancer","0.963","9.0","244.0","2015","11"
"RA2","31 Day Wait for first treatment By Cancer","0.962","9.0","235.0","2015","11"
"RJE","31 Day Wait for first treatment By Cancer","0.969","9.0","287.0","2015","11"
"RJE","31 Day Wait for first treatment By Cancer","0.970","9.0","301.0","2015","8"
"R1H","31 Day Wait for first treatment By Cancer","0.968","9.0","284.0","2015","10"
"R1H","31 Day Wait for first treatment By Cancer","0.958","9.0","215.0","2015","8"
"RXN","31 Day Wait for first treatment By Cancer","0.963","9.0","245.0","2015","12"
"RXN","31 Day Wait for first treatment By Cancer","0.968","9.0","279.0","2015","8"
"RRK","31 Day Wait for first treatment By Cancer","0.965","9.0","255.0","2015","10"
"RYJ","31 Day Wait for first treatment By Cancer","0.964","9.0","250.0","2015","9"
"RXH","31 Day Wait for first treatment By Cancer","0.961","9.0","230.0","2015","10"
"RXH","31 Day Wait for first treatment By Cancer","0.964","9.0","251.0","2015","7"
"RHQ","31 Day Wait for first treatment By Cancer","0.981","9.0","478.0","2015","10"
"RHM","31 Day Wait for first treatment By Cancer","0.976","9.0","379.0","2015","7"
"RHM","31 Day Wait for first treatment By Cancer","0.972","9.0","320.0","2015","6"
"RXC","31 Day Wait for first treatment By Cancer","0.951","9.0","185.0","2015","6"
"RTH","31 Day Wait for first treatment By Cancer","0.971","9.0","315.0","2015","8"
"RTH","31 Day Wait for first treatment By Cancer","0.972","9.0","325.0","2015","12"
"RX1","31 Day Wait for first treatment By Cancer","0.975","9.0","364.0","2015","7"
"RM1","31 Day Wait for first treatment By Cancer","0.975","9.0","363.0","2015","11"
"RTR","31 Day Wait for first treatment By Cancer","0.969","9.0","287.0","2015","7"
"NV3","31 Day Wait for first treatment By Cancer","0.780","9.0","41.0","2015","11"
"RDE","31 Day Wait for first treatment By Cancer","0.951","9.0","184.0","2015","9"
"RVV","31 Day Wait for first treatment By Cancer","0.964","9.0","252.0","2015","10"
"RWP","31 Day Wait for first treatment By Cancer","0.964","9.0","252.0","2015","10"
"RWA","31 Day Wait for first treatment By Cancer","0.967","9.0","274.0","2015","8"
"RWA","31 Day Wait for first treatment By Cancer","0.970","9.0","297.0","2015","11"
"RWH","31 Day Wait for first treatment By Cancer","0.963","9.0","243.0","2015","11"
"RDE","31 Day Wait for first treatment By Cancer","0.953","8.0","170.0","2015","12"
"REN","31 Day Wait for first treatment By Cancer","0.963","8.0","215.0","2015","10"
"RA7","31 Day Wait for first treatment By Cancer","0.967","8.0","243.0","2015","7"
"RTH","31 Day Wait for first treatment By Cancer","0.976","8.0","340.0","2015","11"
"RM3","31 Day Wait for first treatment By Cancer","0.926","8.0","108.0","2015","9"
"RTG","31 Day Wait for first treatment By Cancer","0.972","8.0","283.0","2015","7"
"RK9","31 Day Wait for first treatment By Cancer","0.975","8.0","325.0","2015","10"
"RR8","31 Day Wait for first treatment By Cancer","0.983","8.0","470.0","2015","10"
"RYJ","31 Day Wait for first treatment By Cancer","0.967","8.0","239.0","2015","7"
"RR1","31 Day Wait for first treatment By Cancer","0.976","8.0","335.0","2015","8"
"RR1","31 Day Wait for first treatment By Cancer","0.974","8.0","309.0","2015","9"
"RWF","31 Day Wait for first treatment By Cancer","0.961","8.0","204.0","2015","10"
"RRK","31 Day Wait for first treatment By Cancer","0.969","8.0","254.0","2015","9"
"RHU","31 Day Wait for first treatment By Cancer","0.973","8.0","291.0","2015","9"
"RDZ","31 Day Wait for first treatment By Cancer","0.956","8.0","183.0","2015","12"
"RHW","31 Day Wait for first treatment By Cancer","0.956","8.0","181.0","2015","10"
"RWF","31 Day Wait for first treatment By Cancer","0.963","8.0","215.0","2015","12"
"RM1","31 Day Wait for first treatment By Cancer","0.978","8.0","364.0","2015","10"
"RF4","31 Day Wait for first treatment By Cancer","0.958","8.0","190.0","2015","12"
"RXN","31 Day Wait for first treatment By Cancer","0.975","8.0","320.0","2015","7"
"RPA","31 Day Wait for first treatment By Cancer","0.941","8.0","136.0","2015","12"
"RTD","31 Day Wait for first treatment By Cancer","0.982","8.0","443.0","2015","12"
"RPA","31 Day Wait for first treatment By Cancer","0.910","8.0","89.0","2015","8"
"RTR","31 Day Wait for first treatment By Cancer","0.971","8.0","275.0","2015","12"
"RTR","31 Day Wait for first treatment By Cancer","0.967","8.0","245.0","2015","10"
"RGQ","31 Day Wait for first treatment By Cancer","0.952","8.0","166.0","2015","8"
"RXW","31 Day Wait for first treatment By Cancer","0.966","8.0","237.0","2015","9"
"RHW","31 Day Wait for first treatment By Cancer","0.956","8.0","182.0","2015","6"
"RL4","31 Day Wait for first treatment By Cancer","0.962","8.0","209.0","2015","7"
"RHU","31 Day Wait for first treatment By Cancer","0.975","7.0","276.0","2015","8"
"RGQ","31 Day Wait for first treatment By Cancer","0.960","7.0","177.0","2015","10"
"RL4","31 Day Wait for first treatment By Cancer","0.967","7.0","210.0","2015","6"
"RA2","31 Day Wait for first treatment By Cancer","0.967","7.0","209.0","2015","12"
"RA2","31 Day Wait for first treatment By Cancer","0.969","7.0","227.0","2015","7"
"RDE","31 Day Wait for first treatment By Cancer","0.963","7.0","187.0","2015","10"
"RWA","31 Day Wait for first treatment By Cancer","0.975","7.0","284.0","2015","10"
"RHW","31 Day Wait for first treatment By Cancer","0.967","7.0","211.0","2015","7"
"RYJ","31 Day Wait for first treatment By Cancer","0.966","7.0","207.0","2015","12"
"RA7","31 Day Wait for first treatment By Cancer","0.966","7.0","207.0","2015","8"
"RBN","31 Day Wait for first treatment By Cancer","0.964","7.0","192.0","2015","12"
"R1H","31 Day Wait for first treatment By Cancer","0.967","7.0","214.0","2015","6"
"RHU","31 Day Wait for first treatment By Cancer","0.973","7.0","256.0","2015","12"
"RBL","31 Day Wait for first treatment By Cancer","0.946","7.0","130.0","2015","8"
"RWP","31 Day Wait for first treatment By Cancer","0.972","7.0","248.0","2015","11"
"RNS","31 Day Wait for first treatment By Cancer","0.960","7.0","173.0","2015","7"
"RK9","31 Day Wait for first treatment By Cancer","0.977","7.0","309.0","2015","11"
"RJE","31 Day Wait for first treatment By Cancer","0.977","7.0","311.0","2015","12"
"RR1","31 Day Wait for first treatment By Cancer","0.977","7.0","305.0","2015","7"
"RR8","31 Day Wait for first treatment By Cancer","0.985","7.0","464.0","2015","11"
"RNS","31 Day Wait for first treatment By Cancer","0.948","7.0","134.0","2015","10"
"RTD","31 Day Wait for first treatment By Cancer","0.985","7.0","457.0","2015","9"
"RR8","31 Day Wait for first treatment By Cancer","0.986","7.0","487.0","2015","9"
"RW3","31 Day Wait for first treatment By Cancer","0.931","7.0","102.0","2015","9"
"RL4","31 Day Wait for first treatment By Cancer","0.964","7.0","194.0","2015","8"
"RRK","31 Day Wait for first treatment By Cancer","0.971","7.0","242.0","2015","8"
"RWD","31 Day Wait for first treatment By Cancer","0.974","7.0","269.0","2015","7"
"RRV","31 Day Wait for first treatment By Cancer","0.970","7.0","232.0","2015","12"
"RXH","31 Day Wait for first treatment By Cancer","0.971","7.0","245.0","2015","12"
"RXH","31 Day Wait for first treatment By Cancer","0.968","7.0","222.0","2015","11"
"RWA","31 Day Wait for first treatment By Cancer","0.977","6.0","260.0","2015","6"
"RJ7","31 Day Wait for first treatment By Cancer","0.961","6.0","155.0","2015","10"
"RJE","31 Day Wait for first treatment By Cancer","0.981","6.0","311.0","2015","10"
"RRK","31 Day Wait for first treatment By Cancer","0.975","6.0","244.0","2015","11"
"RHW","31 Day Wait for first treatment By Cancer","0.964","6.0","165.0","2015","11"
"RHW","31 Day Wait for first treatment By Cancer","0.968","6.0","186.0","2015","9"
"RYJ","31 Day Wait for first treatment By Cancer","0.970","6.0","197.0","2015","8"
"RYJ","31 Day Wait for first treatment By Cancer","0.973","6.0","222.0","2015","6"
"RHU","31 Day Wait for first treatment By Cancer","0.979","6.0","289.0","2015","10"
"RA9","31 Day Wait for first treatment By Cancer","0.966","6.0","178.0","2015","10"
"RTD","31 Day Wait for first treatment By Cancer","0.987","6.0","463.0","2015","7"
"RM3","31 Day Wait for first treatment By Cancer","0.958","6.0","143.0","2015","10"
"RXH","31 Day Wait for first treatment By Cancer","0.969","6.0","194.0","2015","8"
"RM3","31 Day Wait for first treatment By Cancer","0.950","6.0","119.0","2015","11"
"RYJ","31 Day Wait for first treatment By Cancer","0.969","6.0","192.0","2015","11"
"RAJ","31 Day Wait for first treatment By Cancer","0.964","6.0","167.0","2015","10"
"RTH","31 Day Wait for first treatment By Cancer","0.984","6.0","385.0","2015","6"
"RTH","31 Day Wait for first treatment By Cancer","0.982","6.0","342.0","2015","7"
"RTK","31 Day Wait for first treatment By Cancer","0.931","6.0","87.0","2015","12"
"RA7","31 Day Wait for first treatment By Cancer","0.973","6.0","223.0","2015","9"
"RGT","31 Day Wait for first treatment By Cancer","0.977","6.0","261.0","2015","11"
"RL4","31 Day Wait for first treatment By Cancer","0.976","6.0","247.0","2015","9"
"RL4","31 Day Wait for first treatment By Cancer","0.974","6.0","230.0","2015","10"
"RTR","31 Day Wait for first treatment By Cancer","0.977","6.0","258.0","2015","6"
"REN","31 Day Wait for first treatment By Cancer","0.974","6.0","227.0","2015","6"
"RL4","31 Day Wait for first treatment By Cancer","0.968","6.0","187.0","2015","12"
"RNS","31 Day Wait for first treatment By Cancer","0.963","6.0","164.0","2015","11"
"RBL","31 Day Wait for first treatment By Cancer","0.960","6.0","150.0","2015","7"
"RVV","31 Day Wait for first treatment By Cancer","0.975","6.0","238.0","2015","11"
"RXW","31 Day Wait for first treatment By Cancer","0.971","6.0","209.0","2015","11"
"RWP","31 Day Wait for first treatment By Cancer","0.979","6.0","284.0","2015","9"
"RF4","31 Day Wait for first treatment By Cancer","0.965","6.0","170.0","2015","9"
"RDZ","31 Day Wait for first treatment By Cancer","0.968","6.0","189.0","2015","7"
"RJ7","31 Day Wait for first treatment By Cancer","0.961","6.0","155.0","2015","9"
"RWH","31 Day Wait for first treatment By Cancer","0.962","6.0","159.0","2015","8"
"RRK","31 Day Wait for first treatment By Cancer","0.979","6.0","291.0","2015","7"
"RXN","31 Day Wait for first treatment By Cancer","0.978","6.0","277.0","2015","9"
"RWH","31 Day Wait for first treatment By Cancer","0.972","6.0","216.0","2015","7"
"RAX","31 Day Wait for first treatment By Cancer","0.943","5.0","87.0","2015","11"
"RWD","31 Day Wait for first treatment By Cancer","0.984","5.0","305.0","2015","9"
"RBA","31 Day Wait for first treatment By Cancer","0.965","5.0","143.0","2015","8"
"RA2","31 Day Wait for first treatment By Cancer","0.971","5.0","172.0","2015","8"
"RGT","31 Day Wait for first treatment By Cancer","0.981","5.0","264.0","2015","12"
"RDD","31 Day Wait for first treatment By Cancer","0.962","5.0","130.0","2015","10"
"RXW","31 Day Wait for first treatment By Cancer","0.978","5.0","232.0","2015","10"
"RXW","31 Day Wait for first treatment By Cancer","0.977","5.0","217.0","2015","8"
"RQ6","31 Day Wait for first treatment By Cancer","0.964","5.0","140.0","2015","12"
"RTP","31 Day Wait for first treatment By Cancer","0.961","5.0","129.0","2015","12"
"REN","31 Day Wait for first treatment By Cancer","0.974","5.0","195.0","2015","9"
"RXW","31 Day Wait for first treatment By Cancer","0.977","5.0","219.0","2015","7"
"RBN","31 Day Wait for first treatment By Cancer","0.975","5.0","203.0","2015","10"
"RBL","31 Day Wait for first treatment By Cancer","0.960","5.0","126.0","2015","12"
"RBZ","31 Day Wait for first treatment By Cancer","0.938","5.0","80.0","2015","9"
"RXH","31 Day Wait for first treatment By Cancer","0.974","5.0","190.0","2015","6"
"RNS","31 Day Wait for first treatment By Cancer","0.967","5.0","153.0","2015","6"
"RNL","31 Day Wait for first treatment By Cancer","0.964","5.0","137.0","2015","8"
"RNL","31 Day Wait for first treatment By Cancer","0.960","5.0","126.0","2015","6"
"NV3","31 Day Wait for first treatment By Cancer","0.896","5.0","48.0","2015","9"
"REF","31 Day Wait for first treatment By Cancer","0.982","5.0","279.0","2015","9"
"REF","31 Day Wait for first treatment By Cancer","0.981","5.0","257.0","2015","6"
"RM3","31 Day Wait for first treatment By Cancer","0.955","5.0","110.0","2015","6"
"RDE","31 Day Wait for first treatment By Cancer","0.975","5.0","201.0","2015","11"
"RWH","31 Day Wait for first treatment By Cancer","0.976","5.0","211.0","2015","10"
"RF4","31 Day Wait for first treatment By Cancer","0.975","5.0","197.0","2015","6"
"RXN","31 Day Wait for first treatment By Cancer","0.980","5.0","244.0","2015","10"
"RVV","31 Day Wait for first treatment By Cancer","0.980","5.0","250.0","2015","12"
"R1H","31 Day Wait for first treatment By Cancer","0.978","5.0","232.0","2015","11"
"RN3","31 Day Wait for first treatment By Cancer","0.964","5.0","140.0","2015","8"
"RPY","31 Day Wait for first treatment By Cancer","0.979","5.0","238.0","2015","9"
"RWP","31 Day Wait for first treatment By Cancer","0.981","5.0","267.0","2015","12"
"REF","31 Day Wait for first treatment By Cancer","0.980","5.0","251.0","2015","11"
"REM","31 Day Wait for first treatment By Cancer","0.961","5.0","127.0","2015","11"
"RDZ","31 Day Wait for first treatment By Cancer","0.975","5.0","203.0","2015","9"
"RWF","31 Day Wait for first treatment By Cancer","0.974","5.0","192.0","2015","11"
"RWA","31 Day Wait for first treatment By Cancer","0.982","5.0","275.0","2015","7"
"RYJ","31 Day Wait for first treatment By Cancer","0.978","5.0","228.0","2015","10"
"RAJ","31 Day Wait for first treatment By Cancer","0.972","5.0","178.0","2015","12"
"RM2","31 Day Wait for first treatment By Cancer","0.974","5.0","195.0","2015","6"
"RXC","31 Day Wait for first treatment By Cancer","0.974","5.0","191.0","2015","11"
"RBV","31 Day Wait for first treatment By Cancer","0.986","5.0","345.0","2015","9"
"RXC","31 Day Wait for first treatment By Cancer","0.968","5.0","158.0","2015","8"
"RWD","31 Day Wait for first treatment By Cancer","0.981","5.0","267.0","2015","12"
"RBV","31 Day Wait for first treatment By Cancer","0.985","5.0","336.0","2015","7"
"RR1","31 Day Wait for first treatment By Cancer","0.984","5.0","309.0","2015","10"
"RBN","31 Day Wait for first treatment By Cancer","0.978","5.0","226.0","2015","7"
"RA7","31 Day Wait for first treatment By Cancer","0.978","5.0","224.0","2015","12"
"RTH","31 Day Wait for first treatment By Cancer","0.985","5.0","339.0","2015","10"
"RAJ","31 Day Wait for first treatment By Cancer","0.969","5.0","163.0","2015","8"
"RBN","31 Day Wait for first treatment By Cancer","0.969","5.0","163.0","2015","8"
"RF4","31 Day Wait for first treatment By Cancer","0.982","4.0","221.0","2015","7"
"RHU","31 Day Wait for first treatment By Cancer","0.987","4.0","301.0","2015","7"
"RHW","31 Day Wait for first treatment By Cancer","0.977","4.0","176.0","2015","12"
"RA7","31 Day Wait for first treatment By Cancer","0.981","4.0","208.0","2015","11"
"RQ6","31 Day Wait for first treatment By Cancer","0.969","4.0","128.0","2015","6"
"RBA","31 Day Wait for first treatment By Cancer","0.978","4.0","183.0","2015","10"
"RBD","31 Day Wait for first treatment By Cancer","0.964","4.0","110.0","2015","7"
"RWF","31 Day Wait for first treatment By Cancer","0.979","4.0","190.0","2015","8"
"RKB","31 Day Wait for first treatment By Cancer","0.980","4.0","202.0","2015","9"
"RBA","31 Day Wait for first treatment By Cancer","0.979","4.0","188.0","2015","9"
"RWA","31 Day Wait for first treatment By Cancer","0.985","4.0","274.0","2015","12"
"RAL","31 Day Wait for first treatment By Cancer","0.981","4.0","211.0","2015","12"
"RXF","31 Day Wait for first treatment By Cancer","0.979","4.0","193.0","2015","12"
"RAJ","31 Day Wait for first treatment By Cancer","0.979","4.0","191.0","2015","6"
"RQ6","31 Day Wait for first treatment By Cancer","0.972","4.0","145.0","2015","7"
"RVW","31 Day Wait for first treatment By Cancer","0.966","4.0","116.0","2015","9"
"RTF","31 Day Wait for first treatment By Cancer","0.962","4.0","105.0","2015","8"
"R1K","31 Day Wait for first treatment By Cancer","0.973","4.0","147.0","2015","7"
"RBA","31 Day Wait for first treatment By Cancer","0.979","4.0","187.0","2015","12"
"RBV","31 Day Wait for first treatment By Cancer","0.986","4.0","284.0","2015","12"
"RRF","31 Day Wait for first treatment By Cancer","0.950","4.0","80.0","2015","8"
"RTP","31 Day Wait for first treatment By Cancer","0.966","4.0","118.0","2015","11"
"RBV","31 Day Wait for first treatment By Cancer","0.985","4.0","262.0","2015","11"
"RCX","31 Day Wait for first treatment By Cancer","0.968","4.0","124.0","2015","7"
"RDD","31 Day Wait for first treatment By Cancer","0.964","4.0","111.0","2015","12"
"RWH","31 Day Wait for first treatment By Cancer","0.980","4.0","205.0","2015","9"
"RXW","31 Day Wait for first treatment By Cancer","0.984","4.0","255.0","2015","6"
"RGQ","31 Day Wait for first treatment By Cancer","0.979","4.0","194.0","2015","7"
"R1H","31 Day Wait for first treatment By Cancer","0.982","4.0","222.0","2015","12"
"RJF","31 Day Wait for first treatment By Cancer","0.956","4.0","90.0","2015","9"
"RCB","31 Day Wait for first treatment By Cancer","0.982","4.0","228.0","2015","7"
"RN3","31 Day Wait for first treatment By Cancer","0.968","4.0","126.0","2015","12"
"RCX","31 Day Wait for first treatment By Cancer","0.967","4.0","122.0","2015","6"
"RWP","31 Day Wait for first treatment By Cancer","0.985","4.0","269.0","2015","7"
"RBZ","31 Day Wait for first treatment By Cancer","0.942","4.0","69.0","2015","10"
"RNS","31 Day Wait for first treatment By Cancer","0.972","4.0","145.0","2015","8"
"RXK","31 Day Wait for first treatment By Cancer","0.969","4.0","131.0","2015","10"
"RF4","31 Day Wait for first treatment By Cancer","0.978","4.0","186.0","2015","10"
"RNL","31 Day Wait for first treatment By Cancer","0.968","4.0","125.0","2015","12"
"RNL","31 Day Wait for first treatment By Cancer","0.967","4.0","121.0","2015","11"
"RHW","31 Day Wait for first treatment By Cancer","0.974","4.0","156.0","2015","8"
"RH8","31 Day Wait for first treatment By Cancer","0.987","4.0","298.0","2015","12"
