"ODS Code","Measure","Percentage","Over Target","Total","Year","Month"
"RQ8","31 Day Wait for first treatment By Cancer","0.924","15","197","2015","10"
"RHM","31 Day Wait for first treatment By Cancer","0.963","14","380","2015","12"
"RJ1","31 Day Wait for first treatment By Cancer","0.961","14","357","2015","7"
"RJ1","31 Day Wait for first treatment By Cancer","0.958","14","334","2015","6"
"RWE","31 Day Wait for first treatment By Cancer","0.955","14","309","2015","11"
"RTR","31 Day Wait for first treatment By Cancer","0.949","14","275","2015","9"
"RDE","31 Day Wait for first treatment By Cancer","0.929","14","198","2015","7"
"RQ8","31 Day Wait for first treatment By Cancer","0.928","14","195","2015","7"
"RHQ","31 Day Wait for first treatment By Cancer","0.970","14","470","2015","9"
"RWE","31 Day Wait for first treatment By Cancer","0.965","13","374","2015","8"
"RR8","31 Day Wait for first treatment By Cancer","0.974","13","504","2015","6"
"RX1","31 Day Wait for first treatment By Cancer","0.965","13","370","2015","10"
"RR8","31 Day Wait for first treatment By Cancer","0.977","13","572","2015","7"
"RGT","31 Day Wait for first treatment By Cancer","0.947","13","245","2015","7"
"RWD","31 Day Wait for first treatment By Cancer","0.952","13","269","2015","6"
"RCB","31 Day Wait for first treatment By Cancer","0.948","13","251","2015","6"
"RTG","31 Day Wait for first treatment By Cancer","0.951","13","264","2015","12"
"RDE","31 Day Wait for first treatment By Cancer","0.934","13","197","2015","6"
"RX1","31 Day Wait for first treatment By Cancer","0.964","13","357","2015","6"
"RXH","31 Day Wait for first treatment By Cancer","0.937","13","206","2015","9"
"RHQ","31 Day Wait for first treatment By Cancer","0.973","13","477","2015","6"
"RPA","31 Day Wait for first treatment By Cancer","0.922","12","153","2015","9"
"RRV","31 Day Wait for first treatment By Cancer","0.946","12","223","2015","10"
"RM1","31 Day Wait for first treatment By Cancer","0.969","12","385","2015","6"
"RK9","31 Day Wait for first treatment By Cancer","0.961","12","305","2015","12"
"RTD","31 Day Wait for first treatment By Cancer","0.973","12","448","2015","10"
"RDZ","31 Day Wait for first treatment By Cancer","0.935","12","185","2015","6"
"RQ8","31 Day Wait for first treatment By Cancer","0.940","12","199","2015","12"
"RDZ","31 Day Wait for first treatment By Cancer","0.930","12","171","2015","8"
"RTG","31 Day Wait for first treatment By Cancer","0.956","12","270","2015","10"
"RF4","31 Day Wait for first treatment By Cancer","0.942","12","208","2015","11"
"RJE","31 Day Wait for first treatment By Cancer","0.961","12","308","2015","9"
"RTG","31 Day Wait for first treatment By Cancer","0.955","12","266","2015","8"
"RHQ","31 Day Wait for first treatment By Cancer","0.971","12","415","2015","8"
"RHM","31 Day Wait for first treatment By Cancer","0.965","12","345","2015","10"
"RTD","31 Day Wait for first treatment By Cancer","0.975","11","441","2015","11"
"RK9","31 Day Wait for first treatment By Cancer","0.967","11","329","2015","6"
"RHM","31 Day Wait for first treatment By Cancer","0.966","11","321","2015","8"
"RTG","31 Day Wait for first treatment By Cancer","0.960","11","274","2015","6"
"RQ8","31 Day Wait for first treatment By Cancer","0.943","11","193","2015","8"
"RH8","31 Day Wait for first treatment By Cancer","0.964","11","309","2015","11"
"RM1","31 Day Wait for first treatment By Cancer","0.968","11","347","2015","7"
"RWP","31 Day Wait for first treatment By Cancer","0.955","11","244","2015","6"
"RWE","31 Day Wait for first treatment By Cancer","0.972","11","392","2015","7"
"RDZ","31 Day Wait for first treatment By Cancer","0.941","11","188","2015","10"
"RX1","31 Day Wait for first treatment By Cancer","0.968","11","341","2015","12"
"RVJ","31 Day Wait for first treatment By Cancer","0.961","11","285","2015","10"
"RPA","31 Day Wait for first treatment By Cancer","0.922","11","141","2015","11"
"RX1","31 Day Wait for first treatment By Cancer","0.967","11","329","2015","8"
"RX1","31 Day Wait for first treatment By Cancer","0.968","11","341","2015","11"
"RK9","31 Day Wait for first treatment By Cancer","0.965","11","310","2015","9"
"RK9","31 Day Wait for first treatment By Cancer","0.965","11","310","2015","7"
"R1H","31 Day Wait for first treatment By Cancer","0.962","10","261","2015","9"
"RGT","31 Day Wait for first treatment By Cancer","0.952","10","208","2015","8"
"RX1","31 Day Wait for first treatment By Cancer","0.971","10","346","2015","9"
"RXN","31 Day Wait for first treatment By Cancer","0.967","10","302","2015","6"
"REF","31 Day Wait for first treatment By Cancer","0.961","10","255","2015","10"
"RA7","31 Day Wait for first treatment By Cancer","0.953","10","213","2015","6"
"RRV","31 Day Wait for first treatment By Cancer","0.956","10","225","2015","11"
"RPA","31 Day Wait for first treatment By Cancer","0.929","10","141","2015","10"
"RXC","31 Day Wait for first treatment By Cancer","0.950","10","201","2015","7"
"RWA","31 Day Wait for first treatment By Cancer","0.964","10","276","2015","9"
"RWF","31 Day Wait for first treatment By Cancer","0.947","10","188","2015","9"
"RTH","31 Day Wait for first treatment By Cancer","0.971","10","341","2015","9"
"RRK","31 Day Wait for first treatment By Cancer","0.962","10","261","2015","12"
"RHQ","31 Day Wait for first treatment By Cancer","0.977","10","426","2015","11"
"RDZ","31 Day Wait for first treatment By Cancer","0.958","10","238","2015","11"
"RHU","31 Day Wait for first treatment By Cancer","0.966","10","290","2015","6"
"RBV","31 Day Wait for first treatment By Cancer","0.971","10","348","2015","6"
"RGT","31 Day Wait for first treatment By Cancer","0.961","10","259","2015","10"
"RM1","31 Day Wait for first treatment By Cancer","0.974","10","382","2015","9"
"R1H","31 Day Wait for first treatment By Cancer","0.961","10","257","2015","7"
"RVV","31 Day Wait for first treatment By Cancer","0.961","10","256","2015","6"
"RJE","31 Day Wait for first treatment By Cancer","0.969","9","287","2015","11"
"RTR","31 Day Wait for first treatment By Cancer","0.969","9","287","2015","7"
"RX1","31 Day Wait for first treatment By Cancer","0.975","9","364","2015","7"
"RYJ","31 Day Wait for first treatment By Cancer","0.964","9","250","2015","9"
"RRK","31 Day Wait for first treatment By Cancer","0.965","9","255","2015","10"
"RXC","31 Day Wait for first treatment By Cancer","0.951","9","185","2015","6"
"RWA","31 Day Wait for first treatment By Cancer","0.970","9","297","2015","11"
"RWA","31 Day Wait for first treatment By Cancer","0.967","9","274","2015","8"
"RWP","31 Day Wait for first treatment By Cancer","0.964","9","252","2015","10"
"RTH","31 Day Wait for first treatment By Cancer","0.971","9","315","2015","8"
"RDE","31 Day Wait for first treatment By Cancer","0.951","9","184","2015","9"
"RTH","31 Day Wait for first treatment By Cancer","0.972","9","325","2015","12"
"RXH","31 Day Wait for first treatment By Cancer","0.964","9","251","2015","7"
"R1H","31 Day Wait for first treatment By Cancer","0.958","9","215","2015","8"
"R1H","31 Day Wait for first treatment By Cancer","0.968","9","284","2015","10"
"RXH","31 Day Wait for first treatment By Cancer","0.961","9","230","2015","10"
"RA2","31 Day Wait for first treatment By Cancer","0.962","9","235","2015","11"
"RVV","31 Day Wait for first treatment By Cancer","0.964","9","252","2015","10"
"RL4","31 Day Wait for first treatment By Cancer","0.963","9","244","2015","11"
"RHQ","31 Day Wait for first treatment By Cancer","0.981","9","478","2015","10"
"RWH","31 Day Wait for first treatment By Cancer","0.962","9","237","2015","6"
"RXN","31 Day Wait for first treatment By Cancer","0.968","9","279","2015","8"
"RXN","31 Day Wait for first treatment By Cancer","0.963","9","245","2015","12"
"RWH","31 Day Wait for first treatment By Cancer","0.963","9","243","2015","11"
"RJE","31 Day Wait for first treatment By Cancer","0.970","9","301","2015","8"
"RHM","31 Day Wait for first treatment By Cancer","0.976","9","379","2015","7"
"RHM","31 Day Wait for first treatment By Cancer","0.972","9","320","2015","6"
"RM1","31 Day Wait for first treatment By Cancer","0.975","9","363","2015","11"
"NV3","31 Day Wait for first treatment By Cancer","0.780","9","41","2015","11"
"RXW","31 Day Wait for first treatment By Cancer","0.966","8","237","2015","9"
"RL4","31 Day Wait for first treatment By Cancer","0.962","8","209","2015","7"
"RF4","31 Day Wait for first treatment By Cancer","0.958","8","190","2015","12"
"REN","31 Day Wait for first treatment By Cancer","0.963","8","215","2015","10"
"RHU","31 Day Wait for first treatment By Cancer","0.973","8","291","2015","9"
"RR1","31 Day Wait for first treatment By Cancer","0.974","8","309","2015","9"
"RPA","31 Day Wait for first treatment By Cancer","0.910","8","89","2015","8"
"RR1","31 Day Wait for first treatment By Cancer","0.976","8","335","2015","8"
"RPA","31 Day Wait for first treatment By Cancer","0.941","8","136","2015","12"
"RTH","31 Day Wait for first treatment By Cancer","0.976","8","340","2015","11"
"RDE","31 Day Wait for first treatment By Cancer","0.953","8","170","2015","12"
"RWF","31 Day Wait for first treatment By Cancer","0.963","8","215","2015","12"
"RWF","31 Day Wait for first treatment By Cancer","0.961","8","204","2015","10"
"RTR","31 Day Wait for first treatment By Cancer","0.967","8","245","2015","10"
"RTR","31 Day Wait for first treatment By Cancer","0.971","8","275","2015","12"
"RTD","31 Day Wait for first treatment By Cancer","0.982","8","443","2015","12"
"RHW","31 Day Wait for first treatment By Cancer","0.956","8","182","2015","6"
"RHW","31 Day Wait for first treatment By Cancer","0.956","8","181","2015","10"
"RK9","31 Day Wait for first treatment By Cancer","0.975","8","325","2015","10"
"RM3","31 Day Wait for first treatment By Cancer","0.926","8","108","2015","9"
"RTG","31 Day Wait for first treatment By Cancer","0.972","8","283","2015","7"
"RA7","31 Day Wait for first treatment By Cancer","0.967","8","243","2015","7"
"RDZ","31 Day Wait for first treatment By Cancer","0.956","8","183","2015","12"
"RM1","31 Day Wait for first treatment By Cancer","0.978","8","364","2015","10"
"RRK","31 Day Wait for first treatment By Cancer","0.969","8","254","2015","9"
"RYJ","31 Day Wait for first treatment By Cancer","0.967","8","239","2015","7"
"RR8","31 Day Wait for first treatment By Cancer","0.983","8","470","2015","10"
"RXN","31 Day Wait for first treatment By Cancer","0.975","8","320","2015","7"
"RGQ","31 Day Wait for first treatment By Cancer","0.952","8","166","2015","8"
"RRK","31 Day Wait for first treatment By Cancer","0.971","7","242","2015","8"
"RBL","31 Day Wait for first treatment By Cancer","0.946","7","130","2015","8"
"RR8","31 Day Wait for first treatment By Cancer","0.986","7","487","2015","9"
"RL4","31 Day Wait for first treatment By Cancer","0.967","7","210","2015","6"
"RA7","31 Day Wait for first treatment By Cancer","0.966","7","207","2015","8"
"RNS","31 Day Wait for first treatment By Cancer","0.960","7","173","2015","7"
"RW3","31 Day Wait for first treatment By Cancer","0.931","7","102","2015","9"
"RNS","31 Day Wait for first treatment By Cancer","0.948","7","134","2015","10"
"RJE","31 Day Wait for first treatment By Cancer","0.977","7","311","2015","12"
"RHU","31 Day Wait for first treatment By Cancer","0.975","7","276","2015","8"
"RL4","31 Day Wait for first treatment By Cancer","0.964","7","194","2015","8"
"RHU","31 Day Wait for first treatment By Cancer","0.973","7","256","2015","12"
"RK9","31 Day Wait for first treatment By Cancer","0.977","7","309","2015","11"
"RA2","31 Day Wait for first treatment By Cancer","0.969","7","227","2015","7"
"RRV","31 Day Wait for first treatment By Cancer","0.970","7","232","2015","12"
"RR8","31 Day Wait for first treatment By Cancer","0.985","7","464","2015","11"
"RWA","31 Day Wait for first treatment By Cancer","0.975","7","284","2015","10"
"RXH","31 Day Wait for first treatment By Cancer","0.971","7","245","2015","12"
"RXH","31 Day Wait for first treatment By Cancer","0.968","7","222","2015","11"
"RA2","31 Day Wait for first treatment By Cancer","0.967","7","209","2015","12"
"RHW","31 Day Wait for first treatment By Cancer","0.967","7","211","2015","7"
"RTD","31 Day Wait for first treatment By Cancer","0.985","7","457","2015","9"
"R1H","31 Day Wait for first treatment By Cancer","0.967","7","214","2015","6"
"RWD","31 Day Wait for first treatment By Cancer","0.974","7","269","2015","7"
"RYJ","31 Day Wait for first treatment By Cancer","0.966","7","207","2015","12"
"RDE","31 Day Wait for first treatment By Cancer","0.963","7","187","2015","10"
"RGQ","31 Day Wait for first treatment By Cancer","0.960","7","177","2015","10"
"RR1","31 Day Wait for first treatment By Cancer","0.977","7","305","2015","7"
"RWP","31 Day Wait for first treatment By Cancer","0.972","7","248","2015","11"
"RBN","31 Day Wait for first treatment By Cancer","0.964","7","192","2015","12"
"RJ7","31 Day Wait for first treatment By Cancer","0.961","6","155","2015","10"
"REN","31 Day Wait for first treatment By Cancer","0.974","6","227","2015","6"
"RWP","31 Day Wait for first treatment By Cancer","0.979","6","284","2015","9"
"RJ7","31 Day Wait for first treatment By Cancer","0.961","6","155","2015","9"
"RWH","31 Day Wait for first treatment By Cancer","0.972","6","216","2015","7"
"RTK","31 Day Wait for first treatment By Cancer","0.931","6","87","2015","12"
"RWH","31 Day Wait for first treatment By Cancer","0.962","6","159","2015","8"
"RJE","31 Day Wait for first treatment By Cancer","0.981","6","311","2015","10"
"RXW","31 Day Wait for first treatment By Cancer","0.971","6","209","2015","11"
"RTR","31 Day Wait for first treatment By Cancer","0.977","6","258","2015","6"
"RAJ","31 Day Wait for first treatment By Cancer","0.964","6","167","2015","10"
"RM3","31 Day Wait for first treatment By Cancer","0.950","6","119","2015","11"
"RXN","31 Day Wait for first treatment By Cancer","0.978","6","277","2015","9"
"RL4","31 Day Wait for first treatment By Cancer","0.968","6","187","2015","12"
"RL4","31 Day Wait for first treatment By Cancer","0.974","6","230","2015","10"
"RL4","31 Day Wait for first treatment By Cancer","0.976","6","247","2015","9"
"RVV","31 Day Wait for first treatment By Cancer","0.975","6","238","2015","11"
"RNS","31 Day Wait for first treatment By Cancer","0.963","6","164","2015","11"
"RF4","31 Day Wait for first treatment By Cancer","0.965","6","170","2015","9"
"RHU","31 Day Wait for first treatment By Cancer","0.979","6","289","2015","10"
"RA9","31 Day Wait for first treatment By Cancer","0.966","6","178","2015","10"
"RXH","31 Day Wait for first treatment By Cancer","0.969","6","194","2015","8"
"RBL","31 Day Wait for first treatment By Cancer","0.960","6","150","2015","7"
"RHW","31 Day Wait for first treatment By Cancer","0.968","6","186","2015","9"
"RHW","31 Day Wait for first treatment By Cancer","0.964","6","165","2015","11"
"RM3","31 Day Wait for first treatment By Cancer","0.958","6","143","2015","10"
"RTD","31 Day Wait for first treatment By Cancer","0.987","6","463","2015","7"
"RA7","31 Day Wait for first treatment By Cancer","0.973","6","223","2015","9"
"RWA","31 Day Wait for first treatment By Cancer","0.977","6","260","2015","6"
"RGT","31 Day Wait for first treatment By Cancer","0.977","6","261","2015","11"
"RRK","31 Day Wait for first treatment By Cancer","0.979","6","291","2015","7"
"RYJ","31 Day Wait for first treatment By Cancer","0.973","6","222","2015","6"
"RYJ","31 Day Wait for first treatment By Cancer","0.970","6","197","2015","8"
"RRK","31 Day Wait for first treatment By Cancer","0.975","6","244","2015","11"
"RDZ","31 Day Wait for first treatment By Cancer","0.968","6","189","2015","7"
"RYJ","31 Day Wait for first treatment By Cancer","0.969","6","192","2015","11"
"RTH","31 Day Wait for first treatment By Cancer","0.984","6","385","2015","6"
"RTH","31 Day Wait for first treatment By Cancer","0.982","6","342","2015","7"
"RTP","31 Day Wait for first treatment By Cancer","0.961","5","129","2015","12"
"REM","31 Day Wait for first treatment By Cancer","0.961","5","127","2015","11"
"RA7","31 Day Wait for first treatment By Cancer","0.978","5","224","2015","12"
"RF4","31 Day Wait for first treatment By Cancer","0.975","5","197","2015","6"
"REN","31 Day Wait for first treatment By Cancer","0.974","5","195","2015","9"
"RXW","31 Day Wait for first treatment By Cancer","0.977","5","217","2015","8"
"RXW","31 Day Wait for first treatment By Cancer","0.978","5","232","2015","10"
"RBV","31 Day Wait for first treatment By Cancer","0.985","5","336","2015","7"
"RN3","31 Day Wait for first treatment By Cancer","0.964","5","140","2015","8"
"RBN","31 Day Wait for first treatment By Cancer","0.969","5","163","2015","8"
"RWA","31 Day Wait for first treatment By Cancer","0.982","5","275","2015","7"
"RXW","31 Day Wait for first treatment By Cancer","0.977","5","219","2015","7"
"RM2","31 Day Wait for first treatment By Cancer","0.974","5","195","2015","6"
"RDE","31 Day Wait for first treatment By Cancer","0.975","5","201","2015","11"
"REF","31 Day Wait for first treatment By Cancer","0.980","5","251","2015","11"
"RBN","31 Day Wait for first treatment By Cancer","0.975","5","203","2015","10"
"RWD","31 Day Wait for first treatment By Cancer","0.984","5","305","2015","9"
"RBV","31 Day Wait for first treatment By Cancer","0.986","5","345","2015","9"
"RBZ","31 Day Wait for first treatment By Cancer","0.938","5","80","2015","9"
"RXC","31 Day Wait for first treatment By Cancer","0.974","5","191","2015","11"
"RM3","31 Day Wait for first treatment By Cancer","0.955","5","110","2015","6"
"RBL","31 Day Wait for first treatment By Cancer","0.960","5","126","2015","12"
"RXC","31 Day Wait for first treatment By Cancer","0.968","5","158","2015","8"
"REF","31 Day Wait for first treatment By Cancer","0.982","5","279","2015","9"
"RAJ","31 Day Wait for first treatment By Cancer","0.972","5","178","2015","12"
"RPY","31 Day Wait for first treatment By Cancer","0.979","5","238","2015","9"
"NV3","31 Day Wait for first treatment By Cancer","0.896","5","48","2015","9"
"RXH","31 Day Wait for first treatment By Cancer","0.974","5","190","2015","6"
"RNS","31 Day Wait for first treatment By Cancer","0.967","5","153","2015","6"
"REF","31 Day Wait for first treatment By Cancer","0.981","5","257","2015","6"
"RGT","31 Day Wait for first treatment By Cancer","0.981","5","264","2015","12"
"RVV","31 Day Wait for first treatment By Cancer","0.980","5","250","2015","12"
"RYJ","31 Day Wait for first treatment By Cancer","0.978","5","228","2015","10"
"RWP","31 Day Wait for first treatment By Cancer","0.981","5","267","2015","12"
"RAJ","31 Day Wait for first treatment By Cancer","0.969","5","163","2015","8"
"RWD","31 Day Wait for first treatment By Cancer","0.981","5","267","2015","12"
"RBN","31 Day Wait for first treatment By Cancer","0.978","5","226","2015","7"
"R1H","31 Day Wait for first treatment By Cancer","0.978","5","232","2015","11"
"RDZ","31 Day Wait for first treatment By Cancer","0.975","5","203","2015","9"
"RDD","31 Day Wait for first treatment By Cancer","0.962","5","130","2015","10"
"RA2","31 Day Wait for first treatment By Cancer","0.971","5","172","2015","8"
"RBA","31 Day Wait for first treatment By Cancer","0.965","5","143","2015","8"
"RNL","31 Day Wait for first treatment By Cancer","0.964","5","137","2015","8"
"RR1","31 Day Wait for first treatment By Cancer","0.984","5","309","2015","10"
"RWH","31 Day Wait for first treatment By Cancer","0.976","5","211","2015","10"
"RAX","31 Day Wait for first treatment By Cancer","0.943","5","87","2015","11"
"RWF","31 Day Wait for first treatment By Cancer","0.974","5","192","2015","11"
"RXN","31 Day Wait for first treatment By Cancer","0.980","5","244","2015","10"
"RQ6","31 Day Wait for first treatment By Cancer","0.964","5","140","2015","12"
"RNL","31 Day Wait for first treatment By Cancer","0.960","5","126","2015","6"
"RTH","31 Day Wait for first treatment By Cancer","0.985","5","339","2015","10"
"RWH","31 Day Wait for first treatment By Cancer","0.980","4","205","2015","9"
"RQ6","31 Day Wait for first treatment By Cancer","0.972","4","145","2015","7"
"RBA","31 Day Wait for first treatment By Cancer","0.978","4","183","2015","10"
"RWG","31 Day Wait for first treatment By Cancer","0.974","4","155","2015","9"
"RCX","31 Day Wait for first treatment By Cancer","0.968","4","124","2015","7"
"RBA","31 Day Wait for first treatment By Cancer","0.979","4","187","2015","12"
"RAL","31 Day Wait for first treatment By Cancer","0.982","4","220","2015","9"
"RN3","31 Day Wait for first treatment By Cancer","0.971","4","136","2015","6"
"RTP","31 Day Wait for first treatment By Cancer","0.966","4","118","2015","11"
"RXN","31 Day Wait for first treatment By Cancer","0.984","4","257","2015","11"
"RQ6","31 Day Wait for first treatment By Cancer","0.969","4","128","2015","6"
"RWP","31 Day Wait for first treatment By Cancer","0.985","4","269","2015","7"
"RDE","31 Day Wait for first treatment By Cancer","0.977","4","173","2015","8"
"RBZ","31 Day Wait for first treatment By Cancer","0.942","4","69","2015","10"
"RA7","31 Day Wait for first treatment By Cancer","0.981","4","208","2015","11"
"RH8","31 Day Wait for first treatment By Cancer","0.987","4","298","2015","12"
"RXF","31 Day Wait for first treatment By Cancer","0.979","4","193","2015","12"
"RTF","31 Day Wait for first treatment By Cancer","0.962","4","105","2015","8"
"RMC","31 Day Wait for first treatment By Cancer","0.960","4","99","2015","12"
"RN5","31 Day Wait for first treatment By Cancer","0.978","4","185","2015","10"
"RBV","31 Day Wait for first treatment By Cancer","0.986","4","284","2015","12"
"RPY","31 Day Wait for first treatment By Cancer","0.982","4","218","2015","11"
"RBD","31 Day Wait for first treatment By Cancer","0.964","4","110","2015","7"
"R1H","31 Day Wait for first treatment By Cancer","0.982","4","222","2015","12"
"R1K","31 Day Wait for first treatment By Cancer","0.973","4","147","2015","7"
"RQW","31 Day Wait for first treatment By Cancer","0.949","4","79","2015","8"
"RHU","31 Day Wait for first treatment By Cancer","0.987","4","301","2015","7"
"RNL","31 Day Wait for first treatment By Cancer","0.967","4","121","2015","11"
"RN3","31 Day Wait for first treatment By Cancer","0.968","4","126","2015","12"
"RKB","31 Day Wait for first treatment By Cancer","0.980","4","202","2015","9"
"RF4","31 Day Wait for first treatment By Cancer","0.982","4","221","2015","7"
"RF4","31 Day Wait for first treatment By Cancer","0.978","4","186","2015","10"
"RJF","31 Day Wait for first treatment By Cancer","0.956","4","90","2015","9"
"RAL","31 Day Wait for first treatment By Cancer","0.981","4","211","2015","12"
"RCB","31 Day Wait for first treatment By Cancer","0.982","4","228","2015","7"
"RXK","31 Day Wait for first treatment By Cancer","0.969","4","131","2015","10"
"RCX","31 Day Wait for first treatment By Cancer","0.967","4","122","2015","6"
"RWA","31 Day Wait for first treatment By Cancer","0.985","4","274","2015","12"
"RGQ","31 Day Wait for first treatment By Cancer","0.979","4","194","2015","7"
"RVW","31 Day Wait for first treatment By Cancer","0.966","4","116","2015","9"
"RHW","31 Day Wait for first treatment By Cancer","0.974","4","156","2015","8"
"RNS","31 Day Wait for first treatment By Cancer","0.972","4","145","2015","8"
"RWF","31 Day Wait for first treatment By Cancer","0.979","4","190","2015","8"
"RBV","31 Day Wait for first treatment By Cancer","0.985","4","262","2015","11"
"RRF","31 Day Wait for first treatment By Cancer","0.950","4","80","2015","8"
"RNL","31 Day Wait for first treatment By Cancer","0.968","4","125","2015","12"
"RAJ","31 Day Wait for first treatment By Cancer","0.979","4","191","2015","6"
"RDD","31 Day Wait for first treatment By Cancer","0.964","4","111","2015","12"
"RHW","31 Day Wait for first treatment By Cancer","0.977","4","176","2015","12"
"RWH","31 Day Wait for first treatment By Cancer","0.982","4","218","2015","12"
"RN3","31 Day Wait for first treatment By Cancer","0.973","4","146","2015","7"
"RXW","31 Day Wait for first treatment By Cancer","0.984","4","255","2015","6"
"RBA","31 Day Wait for first treatment By Cancer","0.979","4","188","2015","9"
"RBL","31 Day Wait for first treatment By Cancer","0.979","3","146","2015","9"
"RW3","31 Day Wait for first treatment By Cancer","0.974","3","117","2015","6"
"RW3","31 Day Wait for first treatment By Cancer","0.969","3","96","2015","12"
"RXF","31 Day Wait for first treatment By Cancer","0.984","3","184","2015","9"
"RXF","31 Day Wait for first treatment By Cancer","0.986","3","215","2015","7"
"RGQ","31 Day Wait for first treatment By Cancer","0.983","3","175","2015","6"
"RWF","31 Day Wait for first treatment By Cancer","0.985","3","202","2015","7"
"RWF","31 Day Wait for first treatment By Cancer","0.987","3","226","2015","6"
"RM3","31 Day Wait for first treatment By Cancer","0.973","3","110","2015","8"
"RPY","31 Day Wait for first treatment By Cancer","0.986","3","207","2015","10"
"RA7","31 Day Wait for first treatment By Cancer","0.987","3","232","2015","10"
"RN5","31 Day Wait for first treatment By Cancer","0.982","3","167","2015","8"
"RK5","31 Day Wait for first treatment By Cancer","0.974","3","115","2015","12"
"RAJ","31 Day Wait for first treatment By Cancer","0.981","3","161","2015","9"
"RPC","31 Day Wait for first treatment By Cancer","0.958","3","72","2015","12"
"RAX","31 Day Wait for first treatment By Cancer","0.963","3","80","2015","12"
"RPA","31 Day Wait for first treatment By Cancer","0.975","3","119","2015","6"
"RJR","31 Day Wait for first treatment By Cancer","0.967","3","91","2015","6"
"RM2","31 Day Wait for first treatment By Cancer","0.985","3","194","2015","9"
"RXC","31 Day Wait for first treatment By Cancer","0.983","3","177","2015","12"
"RM2","31 Day Wait for first treatment By Cancer","0.985","3","204","2015","10"
"RM2","31 Day Wait for first treatment By Cancer","0.984","3","187","2015","11"
"RTF","31 Day Wait for first treatment By Cancer","0.976","3","123","2015","11"
"RP6","31 Day Wait for first treatment By Cancer","0.857","3","21","2015","9"
"RXR","31 Day Wait for first treatment By Cancer","0.981","3","158","2015","8"
"RQ6","31 Day Wait for first treatment By Cancer","0.975","3","120","2015","10"
